,date,open,high,low,close,volume
0,2020-10-01 00:00:00+05:30,345.5,354.9,344.5,353.3,3004005
1,2020-10-05 00:00:00+05:30,355.9,358.0,348.45,350.35,11896462
2,2020-10-06 00:00:00+05:30,356.0,364.5,354.85,362.9,7483578
3,2020-10-07 00:00:00+05:30,362.55,368.75,359.0,360.65,4024902
4,2020-10-08 00:00:00+05:30,359.8,362.8,356.35,359.75,3036028
5,2020-10-09 00:00:00+05:30,361.0,362.45,355.15,357.2,1988867
6,2020-10-12 00:00:00+05:30,359.1,362.85,355.05,357.65,3626399
7,2020-10-13 00:00:00+05:30,357.65,358.65,348.4,349.9,2413111
8,2020-10-14 00:00:00+05:30,349.1,351.2,344.7,348.95,2363439
9,2020-10-15 00:00:00+05:30,350.6,353.85,341.25,342.8,2855273
10,2020-10-16 00:00:00+05:30,344.35,354.75,341.95,349.95,2635081
0,2020-10-16 00:00:00+05:30,344.35,354.75,341.95,349.95,2635081
1,2020-10-19 00:00:00+05:30,352.6,352.6,344.8,347.55,2181975
2,2020-10-20 00:00:00+05:30,346.7,352.3,345.65,348.95,1999765
3,2020-10-21 00:00:00+05:30,350.25,360.15,349.55,355.35,4398526
4,2020-10-22 00:00:00+05:30,350.55,364.05,350.15,358.35,4506437
5,2020-10-23 00:00:00+05:30,360.0,369.0,357.65,364.35,6357073
6,2020-10-26 00:00:00+05:30,366.0,373.9,360.35,363.7,7541567
7,2020-10-27 00:00:00+05:30,360.2,366.2,351.0,364.4,5869581
8,2020-10-28 00:00:00+05:30,363.0,370.0,352.0,353.65,3863941
9,2020-10-29 00:00:00+05:30,350.55,350.55,341.15,342.7,3346474
10,2020-10-30 00:00:00+05:30,345.2,362.7,343.2,359.85,12044260
