,date,open,high,low,close,volume
0,2020-10-01 00:00:00+05:30,2007.0,2049.35,1992.05,2040.45,2014304
1,2020-10-05 00:00:00+05:30,2040.45,2042.7,2011.0,2028.0,1554873
2,2020-10-06 00:00:00+05:30,2050.0,2097.9,2045.1,2090.0,3152388
3,2020-10-07 00:00:00+05:30,2080.0,2118.8,2073.95,2105.0,2429595
4,2020-10-08 00:00:00+05:30,2104.5,2107.95,2072.05,2088.65,1427500
5,2020-10-09 00:00:00+05:30,2094.0,2108.9,2045.15,2050.6,1636939
6,2020-10-12 00:00:00+05:30,2067.9,2086.45,2041.25,2077.85,2182836
7,2020-10-13 00:00:00+05:30,2077.0,2114.0,2054.05,2064.65,2619253
8,2020-10-14 00:00:00+05:30,2070.0,2085.5,2055.0,2071.35,1530567
9,2020-10-15 00:00:00+05:30,2070.0,2124.0,2066.05,2090.45,4001883
10,2020-10-16 00:00:00+05:30,2089.95,2090.0,2055.55,2061.2,2017718
0,2020-10-16 00:00:00+05:30,2089.95,2090.0,2055.55,2061.2,2017718
1,2020-10-19 00:00:00+05:30,2079.95,2079.95,2056.5,2070.1,1338404
2,2020-10-20 00:00:00+05:30,2077.9,2131.8,2067.35,2118.5,2377723
3,2020-10-21 00:00:00+05:30,2130.0,2143.85,2081.25,2114.3,2895442
4,2020-10-22 00:00:00+05:30,2114.2,2116.85,2076.8,2099.9,2755693
5,2020-10-23 00:00:00+05:30,2113.5,2129.4,2096.0,2120.25,3070722
6,2020-10-26 00:00:00+05:30,2116.35,2116.35,2070.05,2080.45,1278236
7,2020-10-27 00:00:00+05:30,2085.0,2207.35,2085.0,2197.8,4964904
8,2020-10-28 00:00:00+05:30,2199.8,2218.55,2150.15,2159.55,3166049
9,2020-10-29 00:00:00+05:30,2162.0,2233.25,2161.1,2225.45,4795796
10,2020-10-30 00:00:00+05:30,2210.1,2242.85,2195.5,2211.5,3006197
