,date,open,high,low,close,volume
0,2020-10-01 00:00:00+05:30,15919.0,16050.0,15797.6,16000.5,62638
1,2020-10-05 00:00:00+05:30,15998.0,16140.0,15732.35,16033.15,71081
2,2020-10-06 00:00:00+05:30,16033.0,16128.0,15834.05,15876.85,75278
3,2020-10-07 00:00:00+05:30,15956.2,16124.95,15854.65,16114.4,99647
4,2020-10-08 00:00:00+05:30,16100.0,16330.0,16052.05,16304.6,78576
5,2020-10-09 00:00:00+05:30,16250.0,16350.0,15985.0,16034.1,74246
6,2020-10-12 00:00:00+05:30,16100.0,16149.6,15860.0,15902.2,58171
7,2020-10-13 00:00:00+05:30,15880.0,15979.25,15652.0,15673.0,76235
8,2020-10-14 00:00:00+05:30,15674.0,15820.0,15550.0,15673.05,66595
9,2020-10-15 00:00:00+05:30,15700.0,15788.0,15561.8,15602.75,50244
10,2020-10-16 00:00:00+05:30,15650.0,15820.4,15375.0,15430.25,132361
0,2020-10-16 00:00:00+05:30,15650.0,15820.4,15375.0,15430.25,132361
1,2020-10-19 00:00:00+05:30,15550.0,16178.0,15425.05,16093.15,182795
2,2020-10-20 00:00:00+05:30,15900.0,16410.0,15850.0,16252.55,203345
3,2020-10-21 00:00:00+05:30,16240.0,16314.45,15942.05,16030.85,150095
4,2020-10-22 00:00:00+05:30,15990.05,16081.1,15768.05,15909.45,113586
5,2020-10-23 00:00:00+05:30,15930.0,16066.0,15807.25,15865.45,73600
6,2020-10-26 00:00:00+05:30,16200.0,16375.0,16052.15,16259.35,346011
7,2020-10-27 00:00:00+05:30,16480.0,17300.0,16395.55,17229.85,493572
8,2020-10-28 00:00:00+05:30,17150.0,17295.0,16934.3,17119.15,163263
9,2020-10-29 00:00:00+05:30,16780.05,17215.95,16711.85,16870.6,136561
10,2020-10-30 00:00:00+05:30,16891.0,17360.0,16890.0,17161.6,239318
