,date,open,high,low,close,volume
0,2020-10-23 00:00:00+05:30,185.6,186.6,181.65,182.25,9733886
1,2020-10-26 00:00:00+05:30,182.3,182.9,169.6,172.4,15615757
2,2020-10-27 00:00:00+05:30,172.9,175.4,171.05,174.45,15437839
3,2020-10-28 00:00:00+05:30,174.45,177.1,169.25,170.45,14426026
4,2020-10-29 00:00:00+05:30,168.5,170.5,165.3,167.9,12267601
5,2020-10-30 00:00:00+05:30,168.2,171.95,166.9,170.65,12957793
6,2020-11-02 00:00:00+05:30,171.5,172.5,167.65,170.75,11083051
7,2020-11-03 00:00:00+05:30,172.45,180.4,171.85,179.75,22507173
8,2020-11-04 00:00:00+05:30,177.0,181.2,174.1,176.5,11618409
9,2020-11-05 00:00:00+05:30,178.9,187.95,178.1,187.35,23733769
