,date,open,high,low,close,volume
0,2020-10-23 00:00:00+05:30,5934.85,5962.0,5823.85,5831.55,646899
1,2020-10-26 00:00:00+05:30,5872.65,5872.65,5645.0,5700.95,783118
2,2020-10-27 00:00:00+05:30,5700.0,5806.5,5632.0,5667.25,1550762
3,2020-10-28 00:00:00+05:30,5678.0,5743.0,5605.0,5642.35,658790
4,2020-10-29 00:00:00+05:30,5640.0,5688.0,5607.2,5623.95,980842
5,2020-10-30 00:00:00+05:30,5650.0,5680.0,5511.05,5573.5,526350
6,2020-11-02 00:00:00+05:30,5601.4,5725.0,5560.0,5701.45,491399
7,2020-11-03 00:00:00+05:30,5752.0,5810.0,5696.7,5743.6,575536
8,2020-11-04 00:00:00+05:30,5743.6,5839.0,5715.95,5811.85,590961
9,2020-11-05 00:00:00+05:30,5855.0,6080.6,5845.25,6055.15,848673
